Variable,Description,SurveyQuestion
colmslm,allow anti-american muslim clergymen teaching in college,"Now consider a Muslim clergyman who preaches hatred of the United States. B. Should such a person be allowed to teach in a college or university, or not?"
colrac,allow racist to teach,"Or consider a person who believes that Black people are genetically inferior....B. Should such a person be allowed to teach in a college or university, or not?"
colsci,r has taken any college-level sci course,Have you ever taken any college-level science courses?
colscinm,number of college-level sci courses r have taken,How many college-level science courses have you taken?
compuse,r use computer,"Do you personally ever use a computer at home, at work, or at some other location?"
compwage,annual wages in previous year were higher than same jobs in other companies,Do you believe your fixed annual wages in calendar year 2005 were higher or lower than those of employees with similar experience and job descriptions in other companies in your region? Please answer on a 1 to 5 scale.
conage,conflict between young and old,"In all countries, there are differences or conflicts between different social groups. In your opinion, in America, how much conflict is there between . . . G. Young people and older people?"
conarmy,confidence in military,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. M. Military"
conbus,confidence in major companies,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. B. Major companies"
conclass,working and middle classes in conflict?,"In all countries, there are differences or conflicts between different social groups. In your opinion, in America, how much conflict is there between . . . B. The working class and the middle class?"
conclerg,confidence in organized religion,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. C. Organized religion"
condom,used condom last time,"The last time you had sex, was a condom used? By ""sex"" we mean vaginal, oral, or anal sex."
condrift,sci knowledge: the continents have been moving,"Now, I would like to ask you a few short questions like those you might see on a television game show. for each statement that I read, please tell me if it is true or false. If you don’t know or aren’t sure, just tell me so, and we will skip to the next question. Remember true, false, or don’t know. H. The continents on which we live have been moving their locations for millions of years and will continue to move in the future. (Is that true or false?)"
coneduc,confidence in education,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. D. Education"
confed,confid. in exec branch of fed govt,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. E. Executive branch of the federal government"
confinan,confid in banks & financial institutions,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. A. Banks and financial institutions"
